chr,chromStart,chromEnd,name,score,pValue,peak,annotStart,annotEnd,gene,product
U00096.3,47875,48505,NA_peak_21,173,20.0161,350,47769,49631,gene=kefC,product=K(+) : H(+) antiporter KefC
U00096.3,48737,48948,NA_peak_22,17,2.82606,100,47769,49631,gene=kefC,product=K(+) : H(+) antiporter KefC
U00096.3,52927,53354,NA_peak_23,126,15.0889,245,52427,53416,gene=pdxA,product=4-hydroxythreonine-4-phosphate dehydrogenase
U00096.3,54005,54230,NA_peak_24,101,12.4424,85,53416,54702,gene=surA,product=chaperone SurA
U00096.3,56721,57033,NA_peak_25,45,6.15323,137,54755,57109,gene=lptD,product=lipopolysaccharide assembly protein LptD
U00096.3,57838,57990,NA_peak_26,31,4.49666,105,57364,58179,gene=djlA,product=co-chaperone protein DjlA
U00096.3,66259,66472,NA_peak_27,34,4.78751,138,65855,66550,gene=araD,product=L-ribulose-5-phosphate 4-epimerase AraD
U00096.3,67888,68241,NA_peak_28,53,7.05745,134,66835,68337,gene=araA,product=L-arabinose isomerase
U00096.3,68470,69149,NA_peak_29,49,6.5949,43,68348,70048,gene=araB,product=ribulokinase
U00096.3,69720,69912,NA_peak_30,42,5.82683,77,68348,70048,gene=araB,product=ribulokinase
U00096.3,72240,72529,NA_peak_31,23,3.47333,173,72229,72927,gene=thiQ,product=thiamine ABC transporter ATP binding subunit
U00096.3,73434,73909,NA_peak_32,132,15.7748,176,72911,74521,gene=thiP,product=thiamine ABC transporter membrane subunit
U00096.3,75683,75847,NA_peak_33,43,5.86257,133,75644,77299,gene=sgrR,product=DNA-binding transcriptional dual regulator SgrR
U00096.3,76853,77226,NA_peak_34,52,6.98474,236,75644,77299,gene=sgrR,product=DNA-binding transcriptional dual regulator SgrR
U00096.3,80026,80333,NA_peak_35,24,3.67319,296,79464,80864,gene=leuC,product=3-isopropylmalate dehydratase subunit LeuC
U00096.3,81630,81838,NA_peak_36,69,8.97144,167,80867,81958,gene=leuB,product=3-isopropylmalate dehydrogenase
U00096.3,82916,83144,NA_peak_37,50,6.70507,168,81958,83529,gene=leuA,product=2-isopropylmalate synthase
U00096.3,85791,85946,NA_peak_38,45,6.15199,51,85630,87354,gene=ilvI,product=acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit
U00096.3,86796,86976,NA_peak_39,21,3.24277,77,85630,87354,gene=ilvI,product=acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit
U00096.3,88367,88514,NA_peak_40,46,6.24592,30,88028,89032,gene=cra,product=DNA-binding transcriptional dual regulator Cra
U00096.3,88684,88964,NA_peak_41,64,8.39948,110,88028,89032,gene=cra,product=DNA-binding transcriptional dual regulator Cra
U00096.3,89721,89933,NA_peak_42,37,5.1502,159,89634,90092,gene=mraZ,product=DNA-binding transcriptional repressor MraZ
U00096.3,90234,90650,NA_peak_43,104,12.7854,143,90094,91035,gene=rsmH,product=16S rRNA m(4)C1402 methyltransferase
U00096.3,91597,91785,NA_peak_44,42,5.75957,101,91413,93179,gene=ftsI,product=peptidoglycan DD-transpeptidase FtsI
U00096.3,92106,92387,NA_peak_45,67,8.66809,115,91413,93179,gene=ftsI,product=peptidoglycan DD-transpeptidase FtsI
U00096.3,93163,93326,NA_peak_46,58,7.66439,60,91413,93179,gene=ftsI,product=peptidoglycan DD-transpeptidase FtsI
U00096.3,93163,93326,NA_peak_46,58,7.66439,60,93166,94653,gene=murE,product=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
U00096.3,94075,94288,NA_peak_47,88,11.0741,82,93166,94653,gene=murE,product=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
U00096.3,94771,95026,NA_peak_48,33,4.71392,137,94650,96008,gene=murF,product=D-alanyl-D-alanine-adding enzyme
U00096.3,95637,95784,NA_peak_49,26,3.83385,112,94650,96008,gene=murF,product=D-alanyl-D-alanine-adding enzyme
U00096.3,96537,96807,NA_peak_50,83,10.4868,109,96002,97084,gene=mraY,product=phospho-N-acetylmuramoyl-pentapeptide-transferase
U00096.3,97235,97455,NA_peak_51,16,2.65751,213,97087,98403,gene=murD,product=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
U00096.3,97912,98285,NA_peak_52,74,9.46125,249,97087,98403,gene=murD,product=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
U00096.3,98482,98696,NA_peak_53,30,4.3038,72,98403,99647,gene=ftsW,product=peptidoglycan glycosyltransferase FtsW
U00096.3,99837,100024,NA_peak_54,54,7.16327,127,99644,100711,gene=murG,product=N-acetylglucosaminyl transferase
U00096.3,102310,102576,NA_peak_55,71,9.10642,65,102233,103153,gene=ddlB,product=D-alanine--D-alanine ligase B
U00096.3,103632,103827,NA_peak_56,63,8.18454,35,103155,103985,gene=ftsQ,product=cell division protein FtsQ
U00096.3,104754,105066,NA_peak_57,18,2.85637,270,103982,105244,gene=ftsA,product=cell division protein FtsA
U00096.3,105381,105632,NA_peak_58,54,7.19646,135,105305,106456,gene=ftsZ,product=cell division protein FtsZ
U00096.3,105821,106179,NA_peak_59,37,5.19231,231,105305,106456,gene=ftsZ,product=cell division protein FtsZ
U00096.3,107869,108032,NA_peak_60,33,4.67003,46,107705,108217,gene=secM,product=SecA translation regulator
U00096.3,108671,108875,NA_peak_61,29,4.21729,80,108279,110984,gene=secA,product=protein translocation ATPase
U00096.3,114039,114237,NA_peak_62,36,5.13016,123,113444,114487,gene=guaC,product=GMP reductase
U00096.3,115834,116015,NA_peak_63,29,4.26862,22,115714,117099,gene=hofB,product=T2SSE family protein
U00096.3,117180,117372,NA_peak_64,21,3.26789,51,117109,117549,gene=ppdD,product=prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
U00096.3,122155,122545,NA_peak_65,73,9.42189,280,122092,122856,gene=pdhR,product=DNA-binding transcriptional dual regulator PdhR
U00096.3,124767,124965,NA_peak_66,20,3.10071,89,123017,125680,gene=aceE,product=pyruvate dehydrogenase E1 component
U00096.3,125364,125521,NA_peak_67,24,3.66633,104,123017,125680,gene=aceE,product=pyruvate dehydrogenase E1 component
U00096.3,127291,127449,NA_peak_68,47,6.34805,114,125695,127587,gene=aceF,product=pyruvate dehydrogenase%2C E2 subunit
U00096.3,129686,130061,NA_peak_69,99,12.201,116,129407,131260,gene=yacH,product=DUF3300 domain-containing protein YacH
U00096.3,130912,131092,NA_peak_70,35,4.91404,117,129407,131260,gene=yacH,product=DUF3300 domain-containing protein YacH
U00096.3,132645,132886,NA_peak_71,36,5.04659,152,131615,134212,gene=acnB,product=AcnB
U00096.3,133847,134044,NA_peak_72,87,10.966,75,131615,134212,gene=acnB,product=AcnB
U00096.3,137831,137986,NA_peak_73,50,6.74632,84,137083,138633,gene=cueO,product=multicopper oxidase CueO
U00096.3,139853,140000,NA_peak_74,39,5.44193,79,138835,141225,gene=gcd,product=quinoprotein glucose dehydrogenase
U00096.3,148976,149153,NA_peak_75,19,3.07339,6,148807,149601,gene=panB,product=3-methyl-2-oxobutanoate hydroxymethyltransferase
U00096.3,149219,149456,NA_peak_76,75,9.55718,138,148807,149601,gene=panB,product=3-methyl-2-oxobutanoate hydroxymethyltransferase
U00096.3,157732,158139,NA_peak_77,56,7.3906,330,157729,159126,gene=pcnB,product=poly(A) polymerase I
U00096.3,158450,158793,NA_peak_78,93,11.562,80,157729,159126,gene=pcnB,product=poly(A) polymerase I
U00096.3,162218,162629,NA_peak_79,47,6.3546,270,162105,164534,gene=hrpB,product=RNA-dependent NTPase HrpB
U00096.3,163397,163764,NA_peak_80,88,11.0456,320,162105,164534,gene=hrpB,product=RNA-dependent NTPase HrpB
U00096.3,165404,165808,NA_peak_81,37,5.21226,200,164730,167264,gene=mrcB,product=peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
U00096.3,165404,165808,NA_peak_81,37,5.21226,200,164865,167264,gene=mrcB,product=PBP1Bgamma
U00096.3,166090,166733,NA_peak_82,102,12.566,370,164730,167264,gene=mrcB,product=peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
U00096.3,166090,166733,NA_peak_82,102,12.566,370,164865,167264,gene=mrcB,product=PBP1Bgamma
U00096.3,167589,167836,NA_peak_83,49,6.64382,168,167484,169727,gene=fhuA,product=ferrichrome outer membrane transporter/phage receptor
U00096.3,169853,170455,NA_peak_84,172,19.9264,294,169778,170575,gene=fhuC,product=iron(III) hydroxamate ABC transporter ATP binding subunit
U00096.3,170780,171015,NA_peak_85,36,5.12717,120,170575,171465,gene=fhuD,product=iron(III) hydroxamate ABC transporter periplasmic binding protein
U00096.3,171241,171496,NA_peak_86,79,10.008,134,170575,171465,gene=fhuD,product=iron(III) hydroxamate ABC transporter periplasmic binding protein
U00096.3,171241,171496,NA_peak_86,79,10.008,134,171462,173444,gene=fhuB,product=iron(III) hydroxamate ABC transporter membrane subunit
U00096.3,171697,171850,NA_peak_87,46,6.28733,98,171462,173444,gene=fhuB,product=iron(III) hydroxamate ABC transporter membrane subunit
U00096.3,171988,172744,NA_peak_88,119,14.3847,540,171462,173444,gene=fhuB,product=iron(III) hydroxamate ABC transporter membrane subunit
U00096.3,173569,173996,NA_peak_89,50,6.75467,214,173602,174882,gene=hemL,product=glutamate-1-semialdehyde 2%2C1-aminomutase
U00096.3,175402,175619,NA_peak_90,59,7.74265,136,175107,176528,gene=clcA,product=chloride:H(+) antiporter ClcA
U00096.3,178073,178544,NA_peak_91,50,6.77155,172,177662,178462,gene=btuF,product=vitamin B12 ABC transporter periplasmic binding protein
U00096.3,178073,178544,NA_peak_91,50,6.77155,172,178455,179153,gene=mtn,product=5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
U00096.3,182596,182846,NA_peak_92,85,10.7384,144,182463,183620,gene=cdaR,product=DNA-binding transcriptional activator CdaR
U00096.3,187062,187634,NA_peak_93,100,12.3723,365,185978,188650,gene=glnD,product=protein-PII uridylyltransferase/uridylyl-removing enzyme
U00096.3,192093,192358,NA_peak_94,31,4.49875,145,191855,192580,gene=pyrH,product=UMP kinase
U00096.3,193099,193269,NA_peak_95,56,7.39142,37,192872,193429,gene=frr,product=ribosome-recycling factor
U00096.3,200655,200802,NA_peak_96,30,4.32203,132,200482,200967,gene=skp,product=periplasmic chaperone Skp
U00096.3,201120,201383,NA_peak_97,43,5.89222,172,200971,201996,gene=lpxD,product=UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
U00096.3,202834,203205,NA_peak_98,109,13.3312,241,202560,203348,gene=lpxA,product=acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
U00096.3,204737,204928,NA_peak_99,45,6.09077,114,204493,205089,gene=rnhB,product=RNase HII
U00096.3,206351,206719,NA_peak_100,34,4.83327,274,205126,208608,gene=dnaE,product=DNA polymerase III subunit alpha
U00096.3,209044,209271,NA_peak_101,90,11.229,139,208621,209580,gene=accA,product=acetyl-CoA carboxyltransferase subunit alpha
U00096.3,212288,212771,NA_peak_102,56,7.43259,311,212331,213629,gene=tilS,product=tRNA(Ile)-lysidine synthetase
U00096.3,212998,213158,NA_peak_103,92,11.5146,53,212331,213629,gene=tilS,product=tRNA(Ile)-lysidine synthetase
U00096.3,213212,213521,NA_peak_104,52,7.00245,36,212331,213629,gene=tilS,product=tRNA(Ile)-lysidine synthetase
U00096.3,217906,218166,NA_peak_105,27,4.04328,89,217057,218775,gene=proS,product=proline--tRNA ligase
U00096.3,218512,218687,NA_peak_106,75,9.59638,107,217057,218775,gene=proS,product=proline--tRNA ligase
U00096.3,221055,222563,NA_peak_107,138,16.3851,1258,220968,221621,gene=metI,product=L-methionine/D-methionine ABC transporter membrane subunit
U00096.3,221055,222563,NA_peak_107,138,16.3851,1258,221614,222645,gene=metN,product=L-methionine/D-methionine ABC transporter ATP binding subunit
U00096.3,228110,228482,NA_peak_108,31,4.5327,251,229167,229970,gene=dkgB,product=methylglyoxal reductase DkgB
U00096.3,232787,232997,NA_peak_109,27,3.9548,191,232597,233955,gene=mltD,product=membrane-bound lytic murein transglycosylase D
U00096.3,239530,239754,NA_peak_110,114,13.7844,72,239419,240189,gene=yafV,product=2-oxoglutaramate amidase
U00096.3,239816,240080,NA_peak_111,41,5.6158,157,239419,240189,gene=yafV,product=2-oxoglutaramate amidase
U00096.3,241433,241582,NA_peak_112,54,7.15736,73,240859,243303,gene=fadE,product=acyl-CoA dehydrogenase
U00096.3,242157,242372,NA_peak_113,55,7.2768,107,240859,243303,gene=fadE,product=acyl-CoA dehydrogenase
U00096.3,242943,243112,NA_peak_114,40,5.53295,77,240859,243303,gene=fadE,product=acyl-CoA dehydrogenase
U00096.3,244825,245014,NA_peak_115,59,7.80033,116,244327,245094,gene=yafJ,product=putative glutamine amidotransferase YafJ
U00096.3,248538,248859,NA_peak_116,75,9.60573,248,247637,248134,gene=rayT,product=REP-associated tyrosine transposase
U00096.3,249520,249713,NA_peak_117,76,9.68436,118,250898,251953,gene=dinB,product=DNA polymerase IV
U00096.3,253843,254098,NA_peak_118,109,13.282,142,254259,255716,gene=pepD,product=peptidase D
U00096.3,256941,257095,NA_peak_119,34,4.82448,122,256527,257771,gene=frsA,product=fermentation-respiration switch protein
U00096.3,257249,257473,NA_peak_120,78,9.91723,61,256527,257771,gene=frsA,product=fermentation-respiration switch protein
U00096.3,258087,258426,NA_peak_121,50,6.75324,224,257923,258426,gene=insB9,product=IS1 family transposase B
U00096.3,258087,258426,NA_peak_121,50,6.75324,224,258345,258620,gene=insA9,product=IS1 family repressor TnpA
U00096.3,260410,260634,NA_peak_122,100,12.292,136,260388,261491,gene=proB,product=glutamate 5-kinase
U00096.3,261610,262030,NA_peak_123,197,22.3931,203,261503,262756,gene=proA,product=glutamate-5-semialdehyde dehydrogenase
U00096.3,264501,264785,NA_peak_124,69,8.89819,198,264256,264732,gene=ykfG,product=RadC-like JAB domain-containing protein YkfG
U00096.3,264501,264785,NA_peak_124,69,8.89819,198,264748,265206,gene=yafX,product=protein YafX
U00096.3,266628,266876,NA_peak_125,22,3.35163,193,266110,266553,gene=yafY,product=inner membrane lipoprotein YafY
U00096.3,268616,268779,NA_peak_126,23,3.538,61,268097,268960,gene=ykfA,product=putative GTP-binding protein YkfA
U00096.3,272642,272799,NA_peak_127,34,4.87702,38,272847,273992,gene=ykfC,product=PF00078 domain-containing protein YkfC
U00096.3,274401,274716,NA_peak_128,26,3.82679,281,274101,275081,gene=insH1,product=IS5 family transposase and trans-activator
U00096.3,275471,275707,NA_peak_129,128,15.3189,130,275325,276728,gene=mmuP,product=S-methyl-L-methionine transporter
U00096.3,276766,277581,NA_peak_130,96,11.9034,498,276715,277647,gene=mmuM,product=homocysteine S-methyltransferase
U00096.3,278110,278268,NA_peak_131,29,4.24345,130,277756,278802,gene=afuC,product=ABC transporter ATP-binding protein AfuC
U00096.3,279399,279587,NA_peak_132,23,3.44997,92,279178,279681,gene=insB2,product=IS1 family protein InsB
U00096.3,281144,281421,NA_peak_133,19,3.04085,189,280829,281983,gene=yagA,product=integrase core domain-containing protein YagA
U00096.3,281645,281874,NA_peak_134,77,9.85344,113,280829,281983,gene=yagA,product=integrase core domain-containing protein YagA
U00096.3,282333,282574,NA_peak_135,56,7.39937,131,282278,283186,gene=yagE,product=putative 2-dehydro-3-deoxygluconate aldolase
U00096.3,282770,282984,NA_peak_136,54,7.24135,85,282278,283186,gene=yagE,product=putative 2-dehydro-3-deoxygluconate aldolase
U00096.3,283326,283888,NA_peak_137,183,21.0057,352,283201,285168,gene=yagF,product=D-xylonate dehydratase
U00096.3,284050,284982,NA_peak_138,68,8.79051,229,283201,285168,gene=yagF,product=D-xylonate dehydratase
U00096.3,285727,286095,NA_peak_139,91,11.4004,70,285395,286777,gene=yagG,product=putative D-xylonate transporter YagG
U00096.3,287293,287971,NA_peak_140,69,8.87244,592,286789,288399,gene=yagH,product=putative xylosidase/arabinosidase
U00096.3,288078,288287,NA_peak_141,153,17.9277,161,286789,288399,gene=yagH,product=putative xylosidase/arabinosidase
U00096.3,288425,288739,NA_peak_142,142,16.7696,53,288404,289162,gene=xynR,product=DNA-binding transcriptional repressor XynR
U00096.3,289393,289545,NA_peak_143,85,10.6969,66,289301,290305,gene=argF,product=ornithine carbamoyltransferase ArgF
U00096.3,289626,290052,NA_peak_144,109,13.3472,190,289301,290305,gene=argF,product=ornithine carbamoyltransferase ArgF
U00096.3,290827,291080,NA_peak_145,73,9.31508,73,290649,291152,gene=insB3,product=IS1 family protein InsB
U00096.3,290827,291080,NA_peak_145,73,9.31508,73,291071,291346,gene=insA3,product=IS1 family protein InsA
U00096.3,298343,298630,NA_peak_146,88,11.0041,155,297770,298726,gene=paoD,product=molybdenum cofactor insertion chaperone PaoD
U00096.3,299041,299213,NA_peak_147,19,3.00847,112,298736,300934,gene=paoC,product=aldehyde dehydrogenase: molybdenum cofactor-binding subunit
U00096.3,299274,299526,NA_peak_148,21,3.30998,196,298736,300934,gene=paoC,product=aldehyde dehydrogenase: molybdenum cofactor-binding subunit
U00096.3,299579,300015,NA_peak_149,159,18.5469,259,298736,300934,gene=paoC,product=aldehyde dehydrogenase: molybdenum cofactor-binding subunit
U00096.3,301010,301203,NA_peak_150,82,10.3522,50,300931,301887,gene=paoB,product=aldehyde dehydrogenase%2C FAD-binding subunit
U00096.3,305106,305557,NA_peak_151,153,17.9489,258,304495,305205,gene=ecpE,product=putative fimbrial chaperone EcpE
U00096.3,305106,305557,NA_peak_151,153,17.9489,258,305174,306817,gene=ecpD,product=fimbrial adhesin EcpD
U00096.3,307328,307546,NA_peak_152,73,9.41761,69,306807,309332,gene=ecpC,product=putative fimbrial usher protein EcpC
U00096.3,313168,313608,NA_peak_153,1618,165.395,143,313141,313242,gene=ykgR,product=putative membrane protein YkgR
U00096.3,315957,316149,NA_peak_154,25,3.7123,36,315587,316453,gene=insF1,product=IS3 element protein InsF
U00096.3,323858,324026,NA_peak_155,76,9.65299,68,323758,324453,gene=ykgG,product=DUF162 domain-containing lactate utilization protein YkgG
U00096.3,325723,325901,NA_peak_156,45,6.1779,142,325577,327247,gene=betA,product=choline dehydrogenase
U00096.3,326550,327002,NA_peak_157,89,11.1594,203,325577,327247,gene=betA,product=choline dehydrogenase
U00096.3,327467,327752,NA_peak_158,20,3.17677,214,327261,328733,gene=betB,product=betaine aldehyde dehydrogenase
U00096.3,328872,329025,NA_peak_159,69,8.86856,68,328747,329334,gene=betI,product=DNA-binding transcriptional repressor BetI
U00096.3,330557,330753,NA_peak_160,46,6.23797,66,329463,331496,gene=betT,product=choline:H(+) symporter
U00096.3,337632,337895,NA_peak_161,42,5.80292,146,336778,338325,gene=yahF,product=putative acyl-CoA synthetase YahF
U00096.3,339224,339435,NA_peak_162,77,9.76621,102,338325,339743,gene=yahG,product=DUF1116 domain-containing protein YahG
U00096.3,341308,341471,NA_peak_163,38,5.28867,57,341125,342507,gene=yahJ,product=amidohydrolase family protein YahJ
U00096.3,343212,343404,NA_peak_164,26,3.88608,161,342884,343933,gene=yahK,product=aldehyde reductase%2C NADPH-dependent
U00096.3,348919,349470,NA_peak_165,48,6.48852,343,348682,349572,gene=prpB,product=2-methylisocitrate lyase
U00096.3,349669,349915,NA_peak_166,63,8.20521,104,348682,349572,gene=prpB,product=2-methylisocitrate lyase
U00096.3,349669,349915,NA_peak_166,63,8.20521,104,350012,351181,gene=prpC,product=2-methylcitrate synthase
U00096.3,350159,350415,NA_peak_167,45,6.1908,127,350012,351181,gene=prpC,product=2-methylcitrate synthase
U00096.3,350465,350682,NA_peak_168,14,2.37931,0,350012,351181,gene=prpC,product=2-methylcitrate synthase
U00096.3,351473,351944,NA_peak_169,68,8.85012,366,351215,352666,gene=prpD,product=2-methylcitrate dehydratase
U00096.3,352803,353038,NA_peak_170,61,8.02871,129,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,353277,353585,NA_peak_171,55,7.35658,161,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,353816,354157,NA_peak_172,53,7.10188,117,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,354360,354647,NA_peak_173,13,2.34328,88,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,355439,355676,NA_peak_174,36,5.0457,101,354922,356181,gene=codB,product=cytosine transporter
U00096.3,358310,358558,NA_peak_175,29,4.17372,198,357791,358690,gene=cynR,product=DNA-binding transcriptional dual regulator CynR
U00096.3,359105,359365,NA_peak_176,74,9.50221,166,358799,359458,gene=cynT,product=carbonic anhydrase 1
U00096.3,360025,360245,NA_peak_177,30,4.40438,171,359992,361146,gene=cynX,product=cyanate transporter
U00096.3,360734,361047,NA_peak_178,62,8.12135,103,359992,361146,gene=cynX,product=cyanate transporter
U00096.3,364109,364374,NA_peak_179,72,9.2847,142,363231,366305,gene=lacZ,product=beta-galactosidase
U00096.3,364859,365424,NA_peak_180,109,13.3212,82,363231,366305,gene=lacZ,product=beta-galactosidase
U00096.3,367168,367419,NA_peak_181,33,4.72891,102,366428,367510,gene=lacI,product=DNA-binding transcriptional repressor LacI
U00096.3,368752,368976,NA_peak_182,55,7.28522,105,368611,370275,gene=mhpA,product=3-(3-hydroxyphenyl)propanoate hydroxylase
U00096.3,369595,370586,NA_peak_183,29,4.29096,132,368611,370275,gene=mhpA,product=3-(3-hydroxyphenyl)propanoate hydroxylase
U00096.3,369595,370586,NA_peak_183,29,4.29096,132,370277,371221,gene=mhpB,product=3-carboxyethylcatechol 2%2C3-dioxygenase
U00096.3,371960,372288,NA_peak_184,16,2.65959,208,371239,372105,gene=mhpC,product=2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase
U00096.3,371960,372288,NA_peak_184,16,2.65959,208,372115,372924,gene=mhpD,product=2-hydroxypentadienoate hydratase
U00096.3,373204,373371,NA_peak_185,69,8.88139,87,372921,373871,gene=mhpF,product=acetaldehyde dehydrogenase (acetylating) MhpF
U00096.3,374298,374821,NA_peak_186,32,4.56266,209,373868,374881,gene=mhpE,product=4-hydroxy-2-oxovalerate aldolase
U00096.3,375097,375346,NA_peak_187,42,5.75019,130,375459,376670,gene=mhpT,product=3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter
U00096.3,375712,376049,NA_peak_188,48,6.4566,133,375459,376670,gene=mhpT,product=3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter
U00096.3,385308,385492,NA_peak_189,29,4.20564,89,385232,386194,gene=tauA,product=taurine ABC transporter periplasmic binding protein
U00096.3,385690,386107,NA_peak_190,47,6.34911,359,385232,386194,gene=tauA,product=taurine ABC transporter periplasmic binding protein
U00096.3,389203,389470,NA_peak_191,52,6.95661,216,388753,389727,gene=hemB,product=porphobilinogen synthase
U00096.3,391994,392227,NA_peak_192,48,6.54847,183,391739,392605,gene=insF2,product=IS3 element protein InsF
U00096.3,392345,392581,NA_peak_193,21,3.25423,146,391739,392605,gene=insF2,product=IS3 element protein InsF
U00096.3,395791,395947,NA_peak_194,31,4.42404,29,395130,396287,gene=ampH,product=peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
U00096.3,402089,402540,NA_peak_195,145,17.1539,137,401747,403162,gene=phoA,product=alkaline phosphatase
U00096.3,410423,410637,NA_peak_196,24,3.67825,135,410144,411052,gene=mak,product=fructokinase
U00096.3,411013,411169,NA_peak_197,28,4.1329,84,410144,411052,gene=mak,product=fructokinase
U00096.3,412826,412979,NA_peak_198,40,5.52655,55,412607,415753,gene=sbcC,product=ATP-dependent structure-specific DNA nuclease - SbcC subunit
U00096.3,417711,417884,NA_peak_199,33,4.69759,68,417142,417831,gene=phoB,product=DNA-binding transcriptional dual regulator PhoB
U00096.3,420235,420515,NA_peak_200,86,10.8562,114,419591,420910,gene=brnQ,product=branched chain amino acid transporter BrnQ
U00096.3,423162,423399,NA_peak_201,68,8.81618,132,422518,424332,gene=malZ,product=maltodextrin glucosidase
U00096.3,424035,424192,NA_peak_202,105,12.8272,86,422518,424332,gene=malZ,product=maltodextrin glucosidase
U00096.3,425300,425751,NA_peak_203,39,5.42665,349,425011,426081,gene=queA,product=tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase
U00096.3,427916,428088,NA_peak_204,17,2.80749,105,427647,429494,gene=secD,product=Sec translocon accessory complex subunit SecD
U00096.3,428248,428558,NA_peak_205,28,4.06138,217,427647,429494,gene=secD,product=Sec translocon accessory complex subunit SecD
U00096.3,433482,433811,NA_peak_206,64,8.3226,280,433455,434558,gene=ribD,product=fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
U00096.3,438467,438751,NA_peak_207,41,5.66929,168,438315,440177,gene=dxs,product=1-deoxy-D-xylulose-5-phosphate synthase
U00096.3,439778,440041,NA_peak_208,14,2.37033,28,438315,440177,gene=dxs,product=1-deoxy-D-xylulose-5-phosphate synthase
U00096.3,442317,442480,NA_peak_209,44,6.06499,112,441549,442997,gene=thiI,product=tRNA uridine 4-sulfurtransferase
